"","VP","SessionDuration","Count.TasksPerSession","Count.InteractionsPerSession","Count.TouchesPerSession","Count.ButtonTouchedPerSession","Count.CorrectButtonTouchedPerSession","Count.MissedButtonPerSession","MeanPerSession.Count.TouchesPerInteraction","MeanPerSession.Count.TouchesPerTask","MeanPerSession.Count.ButtonTouchedPerInteraction","MeanPerSession.Count.ButtonTouchedPerTask","MeanPerSession.Count.CorrectButtonTouchedPerInteraction","MeanPerSession.Count.CorrectButtonTouchedPerTask","MeanPerSession.Count.MissedButtonPerInteraction","MeanPerSession.Count.MissedButtonPerTask","MeanPerSession.touch.duration","touch.duration.mean","swipe_length.mean","swipe_speed.mean","time_between_touches.mean","difference.touch_buttonCenter_x.mean","difference.touch_buttonCenter_y.mean","touchAccuracy.mean","touchAccuracy_x.mean","touchAccuracy_y.mean","touch.duration.sd","swipe_length.sd","swipe_speed.sd","time_between_touches.sd","difference.touch_buttonCenter_x.sd","difference.touch_buttonCenter_y.sd","touchAccuracy.sd","touchAccuracy_x.sd","touchAccuracy_y.sd","touch.duration.median","swipe_length.median","swipe_speed.median","time_between_touches.median","difference.touch_buttonCenter_x.median","difference.touch_buttonCenter_y.median","touchAccuracy.median","touchAccuracy_x.median","touchAccuracy_y.median","touch.duration.mad","swipe_length.mad","swipe_speed.mad","time_between_touches.mad","difference.touch_buttonCenter_x.mad","difference.touch_buttonCenter_y.mad","touchAccuracy.mad","touchAccuracy_x.mad","touchAccuracy_y.mad","touch.duration.min","swipe_length.min","swipe_speed.min","time_between_touches.min","difference.touch_buttonCenter_x.min","difference.touch_buttonCenter_y.min","touchAccuracy.min","touchAccuracy_x.min","touchAccuracy_y.min","touch.duration.max","swipe_length.max","swipe_speed.max","time_between_touches.max","difference.touch_buttonCenter_x.max","difference.touch_buttonCenter_y.max","touchAccuracy.max","touchAccuracy_x.max","touchAccuracy_y.max","touch.duration.range","swipe_length.range","swipe_speed.range","time_between_touches.range","difference.touch_buttonCenter_x.range","difference.touch_buttonCenter_y.range","touchAccuracy.range","touchAccuracy_x.range","touchAccuracy_y.range","touch.duration.skew","swipe_length.skew","swipe_speed.skew","time_between_touches.skew","difference.touch_buttonCenter_x.skew","difference.touch_buttonCenter_y.skew","touchAccuracy.skew","touchAccuracy_x.skew","touchAccuracy_y.skew","touch.duration.kurtosis","swipe_length.kurtosis","swipe_speed.kurtosis","time_between_touches.kurtosis","difference.touch_buttonCenter_x.kurtosis","difference.touch_buttonCenter_y.kurtosis","touchAccuracy.kurtosis","touchAccuracy_x.kurtosis","touchAccuracy_y.kurtosis","touch.duration.se","swipe_length.se","swipe_speed.se","time_between_touches.se","difference.touch_buttonCenter_x.se","difference.touch_buttonCenter_y.se","touchAccuracy.se","touchAccuracy_x.se","touchAccuracy_y.se","Age","neuro","extra","open","agree","con","source","Gender","Handedness","Condition"
"1",3,124.826999902725,0.208288271129333,0.288399144640615,0.608842638685742,0.288399144640615,0.288399144640615,0.320443494045128,2.94736842105263,4.55263157894737,1,1.94736842105263,1,1.94736842105263,1.94736842105263,2.60526315789474,0.817144745274594,0.817144745274594,235.2006494792,235.678267992967,6.01011841234408,4.71710526315789,-2.02631578947368,-0.318888888888889,0.628947368421053,-0.270175438596491,0.546802825295241,213.790083674829,180.333646666118,45.5515489794202,7.68606337310841,6.40983345433255,1.14633888510605,1.02480844974779,0.854644460577673,0.771000027656555,183.379224219183,230.263923839362,0.401000022888184,5.25,-1.5,-0.106666666666667,0.7,-0.2,0.409197633934021,229.5119230597,208.434667664541,0.266126675963402,7.413,5.1891,0.39536,0.9884,0.69188,0.0680000782012939,0,0,0.155999898910522,-15,-35,-7.46666666666667,-2,-4.66666666666667,2.51099991798401,799.556908543726,631.472573311048,397.805000066757,29,12,2.45333333333333,3.86666666666667,1.6,2.44299983978271,799.556908543726,631.472573311048,397.649000167847,44,47,9.92,5.86666666666667,6.26666666666667,0.769125542101122,0.815293871481114,0.236405403466366,8.37085408237374,0.0907120790179748,-1.58155659044622,-3.07235195157654,0.0907120790179749,-1.58155659044622,0.403011911876026,-0.230672575804113,-0.945847002645504,69.0128518492001,0.536279836191111,7.43331553934565,18.3546802141815,0.536279836191115,7.43331553934565,0.0627225857238022,24.5234044702548,20.685687945731,5.22512101902726,0.881651934658655,0.73525832295689,0.131494088295483,0.117553591287821,0.0980344430609186,24,36,NA,39,36,27,1,2,2,"2"
"2",3,126.910000085831,0.212749192197144,0.307304388729208,0.646127176302437,0.307304388729208,0.307304388729208,0.338822787573229,3.19512195121951,5.21951219512195,1,1.86585365853659,1,1.86585365853659,2.19512195121951,3.35365853658537,0.693951214232096,0.693951214232096,233.286768143292,255.475179099637,1.54609756644179,5.53048780487805,-1.29268292682927,-0.254417344173442,0.73739837398374,-0.172357723577236,0.447020514397223,214.209068359388,212.204554399966,6.56132531141725,6.23478273947789,5.06254170506351,0.820569446543938,0.831304365263719,0.675005560675135,0.689999938011169,183.466011213206,244.512429419958,0.439000010490417,6.5,-1,-0.0288888888888889,0.866666666666667,-0.133333333333333,0.464053923010826,272.006708224699,246.171001650226,0.266868098974228,6.6717,5.1891,0.477726666666667,0.88956,0.69188,0.0859999656677246,0,0,0.17900013923645,-12.5,-11.5,-3.2,-1.66666666666667,-1.53333333333333,1.83100008964539,727.220908665311,831.62837072003,59.4539999961853,18.5,11.5,1.53333333333333,2.46666666666667,1.53333333333333,1.74500012397766,727.220908665311,831.62837072003,59.2749998569489,31,23,4.73333333333333,4.13333333333333,3.06666666666667,0.384932509454454,0.559904234470597,0.41075163211197,8.38619636178205,-0.352935305475634,-0.00259752107328205,-0.940285238245529,-0.352935305475633,-0.00259752107328218,-0.583537171559224,-0.859093961542054,-0.630574479636679,70.9940385045903,-0.115211130228328,-0.508726336479873,1.78520465948678,-0.115211130228327,-0.508726336479871,0.0493651575916482,23.6554343179983,23.434072782421,0.724577167213325,0.688516572665656,0.559064206307719,0.0906167362322393,0.0918022096887541,0.0745418941743626,24,36,NA,39,36,27,1,2,2,"2"
"3",3,125.569000005722,0.589317427045114,0.613208674087483,0.676918666200469,0.60524492507336,0.589317427045114,0.0716737411271085,1.42352941176471,1.61176470588235,0.988235294117647,1.11764705882353,0.964705882352941,1.01176470588235,0.435294117647059,0.494117647058824,0.370047044754028,0.370047044754028,388.531925054653,1018.52529333919,1.73154119042789,0.00588294898762422,-6.25882293336532,0.124408164460139,0.000168084259651722,-0.178823515427213,0.124601270569668,188.597665526527,371.314401207368,6.10046883632515,33.699255866241,18.6377771393125,0.959395976340739,0.962835898289596,0.532507927334626,0.375999927520752,376.837166426031,1053.7131702108,0.651999950408936,8.00000059604645,-5.49999940395355,-0.0457142867847362,0.228571449493876,-0.157142842789085,0.0948865922927856,212.385510325622,404.714688031869,0.231285450124741,14.826,13.3434,0.107110277459563,0.423600007213865,0.381240006492479,0.00599980354309082,0,0,0.0770001411437988,-130.999999403954,-138.499999403954,-0.562040824035166,-3.74285718956772,-3.9571429075027,0.712999820709229,889.683651642537,1860.30629266683,56.2049999237061,40.5000005960464,25.0000005960464,7.80122465454108,1.15714289387878,0.714285743479827,0.707000017166138,889.683651642537,1860.30629266683,56.1279997825623,171.5,163.5,8.36326547857624,4.9000000834465,4.67142865098253,-0.122056522948354,0.130804568990534,-0.322814777099828,8.38220096715984,-2.62188206658964,-4.06415182394535,6.32081723431845,-2.62188206658964,-4.06415182394535,0.902982180725369,-0.418481198452601,-0.106132296364871,71.8016239264224,6.7846050430301,27.2379866816409,45.8194444520706,6.78460504303011,27.2379866816409,0.0135149053347322,20.4562889630997,40.2747015242872,0.661688748786229,3.65519750160584,2.02155076377657,0.104061104188487,0.1044342161101,0.0577585942343821,24,36,NA,39,36,27,1,2,2,"1"
"4",3,129.587999820709,0.601907584868326,0.625057876594031,0.655924932228304,0.617341112685462,0.594190820959758,0.0385838195428414,1.09411764705882,1.18823529411765,0.988235294117647,1.07058823529412,0.952941176470588,0.988235294117647,0.105882352941176,0.117647058823529,0.387176465988159,0.387176465988159,458.5975872282,1160.66275245269,1.69670588549446,21.6764711842817,-7.21764646277708,-0.386259309842193,0.619327758669424,-0.206218473876939,0.109118009065819,172.346869714077,342.956775057302,5.39789938630329,80.2812283803138,32.4287173456409,13.0087860759776,2.293749421357,0.92653479708282,0.375999927520752,491.467191173531,1231.15663872798,0.628000020980835,9.50000059604645,-5.99999940395355,-0.0261224430573572,0.271428593080871,-0.171428557318084,0.10971257815361,152.986013887709,268.777183831881,0.152707689714432,12.6021,11.8608,0.102874258559236,0.360060006131785,0.338880005771092,0.0169999599456787,0,0,0.282000064849854,-29.9999994039536,-196.499999403954,-97.3677582186305,-0.857142854710015,-5.61428579286653,0.635999917984009,815.737856176848,1963.64774948643,49.550999879837,607.000000596046,193.500000596046,68.8702067336328,17.3428574552341,5.52857153975234,0.61899995803833,815.737856176848,1963.64774948643,49.2689998149872,637,390,166.237964952263,18.2000003099442,11.1428573326189,-0.304460682307012,-0.598463282954156,-0.968499259687084,8.2046638882596,6.1623445003907,0.438839412122698,-3.09933921415761,6.1623445003907,0.438839412122698,0.490888512552333,0.0629843355285931,1.75369432626767,69.6805886123005,38.5964108688198,27.9779362940888,42.7913358418921,38.5964108688198,27.9779362940888,0.0118355098314542,18.6936426753436,37.1988851125952,0.585484392564908,8.70772181339278,3.51738825013084,1.41100095956339,0.248792056048126,0.100496808858046,24,36,NA,39,36,27,1,2,2,"1"
"5",4,120.464999914169,0.830116631978166,0.838417798297947,0.888224796216637,0.838417798297947,0.830116631978166,0.0498069979186899,1.11214953271028,1.13084112149533,1,1.01869158878505,0.990654205607477,1,0.11214953271028,0.11214953271028,0.316252329639185,0.316252329639185,418.153232707106,1327.99806143328,1.71499066263716,13.5000005960464,-7.72429846937411,-0.803305384077132,0.38571430931286,-0.220694245740518,0.112196350701822,173.564721099474,339.884301240982,9.50520580287364,47.8807480908125,27.56897299338,8.92116202011314,1.36802139732048,0.787684956082195,0.31499981880188,433.503171845374,1313.54806378285,0.519999980926514,7.50000059604645,-7.49999940395355,-0.00122448959433968,0.214285734964877,-0.21428570090508,0.0948865922927856,178.516450735711,363.063531485329,0.134916718769073,11.8608,11.8608,0.110136013850621,0.338880005771092,0.338880005771092,0.0499999523162842,98.5317207806704,566.250555713314,0.0859999656677246,-28.4999994039536,-244.499999403954,-91.9120438417333,-0.814285711123019,-6.98571438765039,0.776000022888184,909.058853980313,2393.8485603891,98.6710000038147,460.500000596046,57.0000005960464,7.28204116823375,13.1571430982376,1.62857147333573,0.726000070571899,810.527133199643,1827.59800467579,98.585000038147,489,301.5,99.194085009967,13.9714288093606,8.61428586098613,0.635032087133135,0.348133788990999,0.342723241974859,9.91742339721923,7.82510178629185,-5.74626040683892,-9.94700186144739,7.82510178629185,-5.74626040683891,1.5202272065314,-0.196382108633089,0.223161775135198,98.1744239586757,68.7572571484571,48.3453743578757,98.6712042374209,68.7572571484571,48.3453743578757,0.0108464306161215,16.7791349097895,32.8578556063445,0.918902928552653,4.6288066302192,2.66519321582149,0.862441284953169,0.132251620258494,0.0761483788916989,20,8,25,29,32,37,1,1,2,"1"
"6",4,137.18499994278,0.255129934137103,0.269708787516367,0.736232095652784,0.262419360826735,0.262419360826735,0.473812734826049,4.54455445544554,4.76237623762376,0.881188118811881,0.99009900990099,0.881188118811881,0.99009900990099,3.66336633663366,3.77227722772277,0.645060019493103,0.645060019493103,299.671492522319,455.081364713284,1.21540997982025,36.5346534653465,-19.2326732673267,-21.9502750275028,4.87128712871287,-2.56435643564356,0.282818369860272,176.826461664805,199.764573114688,5.1006762228353,102.179603087547,74.9694792684475,335.241152395174,13.6239470783396,9.99593056912633,0.554500102996826,254.349819679501,458.520459807402,0.382499933242798,5,-5,-0.213333333333333,0.666666666666667,-0.666666666666667,0.174205598974228,154.351043688417,207.740491497279,0.208305401802063,7.413,8.1543,0.711648,0.9884,1.08724,0.00900006294250488,0,0,0.151000022888184,-351,-389.5,-945.186666666667,-46.8,-51.9333333333333,1.62299990653992,890.908104127468,1019.48466721841,50.7539999485016,308.5,326,2330.64,41.1333333333333,43.4666666666667,1.61399984359741,890.908104127468,1019.48466721841,50.6029999256134,659.5,715.5,3275.82666666667,87.9333333333333,95.4,0.993079834092384,0.72255235716577,-0.119876480985656,9.17517198389302,1.29370169961505,-2.13074230046717,3.70823412724277,1.29370169961505,-2.13074230046717,1.20259477911316,0.146040248096609,-0.0944127410552467,85.9889080013256,3.75889143856918,15.2874673258789,26.8123025153905,3.75889143856918,15.2874673258789,0.0282818369860272,17.6826461664805,19.9764573114688,0.51006762228353,10.1672505153005,7.4597420002782,33.3577414322053,1.35563340204007,0.99463226670376,20,8,25,29,32,37,1,1,2,"2"
"7",4,124.118999958038,0.789564853351475,0.797621637569347,0.837905558658708,0.797621637569347,0.789564853351475,0.040283921089361,1.09615384615385,1.11538461538462,1,1.01923076923077,0.990384615384615,1,0.0961538461538462,0.0961538461538462,0.31637863048072,0.31637863048072,413.166504546524,1446.13113237561,1.34894175668365,9.23557751912337,-5.48557632703048,-0.0581887756674697,0.263873647897266,-0.15673075486998,0.113785758858607,172.397064219213,1760.421075481,4.85385888117994,11.2420320716862,14.6935453649582,0.1850207344967,0.321200921803911,0.419815589005365,0.322000026702881,424.577436988825,1283.41350679034,0.509000062942505,8.50000059604645,-5.49999940395355,-0.00857142898501154,0.242857164022874,-0.157142842789085,0.105264393568039,190.020136994805,293.133136570802,0.126020703077316,10.74885,13.3434,0.0918304221407829,0.307110005230052,0.381240006492479,0.0220000743865967,84.8115558164098,530.258323872218,0.167999982833862,-12.9999994039536,-48.4999994039536,-0.893877584628392,-0.371428560724064,-1.38571429228296,0.634000062942505,939.035941804146,18893.3408876297,49.066999912262,38.5000005960464,32.5000005960464,0.651020457828012,1.10000003576279,0.928571461414805,0.611999988555908,854.224385987736,18363.0825637575,48.8989999294281,51.5,81,1.5448980424564,1.47142859648685,2.31428575369777,0.42068029806496,0.214827180648752,9.44149903437157,9.2301669522555,0.304570124504896,-0.270943442389745,-0.904359546082726,0.304570124504896,-0.270943442389745,0.320934605465743,-0.284977935888235,90.6743059609024,87.6928415614626,-0.398571505202445,0.484018435264328,4.97636702952466,-0.398571505202444,0.484018435264326,0.0112116439641528,16.9867874844761,173.45944275689,0.478264926770437,1.10237194049931,1.44082066422659,0.0181427756849604,0.0314963416935026,0.0411663053932462,20,8,25,29,32,37,1,1,2,"1"
"8",4,126.848000049591,0.323221493314606,0.346871846483967,0.693743692967935,0.338988395427513,0.33110494437106,0.354755297540421,2.68181818181818,3.02272727272727,0.943181818181818,1.06818181818182,0.920454545454545,0.988636363636364,1.73863636363636,1.95454545454545,0.618988494763429,0.618988494763429,327.375216729425,948.438431666703,1.35675863287915,1.58433734939759,-5.30120481927711,-1.86061579651941,0.211244979919679,-0.706827309236948,0.2453749030976,178.185343145072,4167.30530261972,5.1576748723449,11.8295360188552,11.9414066865114,14.7074212547769,1.5772714691807,1.59218755820152,0.541000127792358,285.87803343384,496.665877800896,0.434000015258789,0.5,-4.5,-0.08,0.0666666666666667,-0.6,0.176429691267014,178.495295667485,148.618198818612,0.266867745494842,7.413,5.1891,0.533736,0.9884,0.69188,0.00999999046325684,0,0,0.187000036239624,-14.5,-88.5,-133.733333333333,-1.93333333333333,-11.8,1.52099990844727,830.356850998413,39339.5850488661,47.7840001583099,85,16,2.44888888888889,11.3333333333333,2.13333333333333,1.51099991798401,830.356850998413,39339.5850488661,47.5970001220703,99.5,104.5,136.182222222222,13.2666666666667,13.9333333333333,0.67304220419436,0.720764368340903,8.98512526502548,8.39667219956414,4.20674119175042,-3.99491461820436,-8.68315505041174,4.20674119175042,-3.99491461820436,0.916950693139531,-0.0748569047999155,79.7913784964434,72.4805316077346,27.1980327037556,26.0865820163665,74.8752898887857,27.1980327037555,26.0865820163665,0.0263069509345546,19.1034739910205,446.782025143461,0.552960788125889,1.29846026713103,1.31073966818087,1.61434921038723,0.173128035617471,0.174765289090782,20,8,25,29,32,37,1,1,2,"2"
"9",5,122.180000066757,0.892126370440697,0.892126370440697,0.982157472044804,0.77754133203547,0.77754133203547,0.204616140009334,1.18333333333333,1.18333333333333,0.816666666666667,0.816666666666667,0.816666666666667,0.816666666666667,0.366666666666667,0.366666666666667,0.257099992036819,0.257099992036819,362.448999350425,1195.24652659399,3.40763334035873,5.76666726271311,6.13333392937978,1.12578065637892,0.164761924597682,0.175238115252281,0.119109260528547,217.469368931359,633.001002498788,29.1814535928314,110.029311093544,60.4068048553235,13.009465942184,3.14369465620949,1.72590873954415,0.274999976158142,394.487085856434,1384.44373071729,0.476000070571899,5.00000059604645,2.00000059604645,0.00275510079659134,0.142857162319884,0.057142875145893,0.0919212537288666,206.679813223766,406.792772194059,0.214976971721649,14.826,15.19665,0.12904671489374,0.423600007213865,0.434190007394212,0.00799989700317383,0,0,0.224999904632568,-325.999999403954,-224.999999403954,-55.0873488729411,-9.31428585587716,-6.42857152101945,0.539999961853027,771.634142583129,2309.6305956596,320.353999853134,585.000000596046,207.000000596046,69.1328598011271,16.7142860159582,5.9142858320353,0.532000064849854,771.634142583129,2309.6305956596,320.128999948502,911,432,124.220208674068,26.0285718718354,12.3428573530548,-0.381234368282052,-0.378702858860129,-0.805052119362473,10.6763074719601,2.28253010828041,0.593656661593722,1.85551545146053,2.28253010828041,0.593656661593723,-0.381667251922759,-0.847614586268421,-0.391825874337028,112.967018542019,12.7628370458232,4.69485115424759,15.7408304753377,12.7628370458232,4.69485115424759,0.0108731381332075,19.8521464883531,57.7848213319951,2.66389006559732,10.0442559454479,5.51436160767888,1.18759632627156,0.286978746185731,0.15755319147394,29,14,24,36,39,29,1,2,2,"1"
"10",5,115.617000102997,0.95141717828699,0.977364919512999,1.03790964904035,0.847626213382954,0.830327719232282,0.190283435657398,1.11666666666667,1.18333333333333,0.833333333333333,0.9,0.816666666666667,0.858333333333333,0.283333333333333,0.283333333333333,0.244875011841456,0.244875011841456,375.605066839449,1324.72063409006,1.08633332252502,3.64166726271311,14.7000005960464,-1.27051874183213,0.104047637849438,0.420000024182456,0.119164491680596,233.172764811737,688.789931225654,4.14881301298887,119.933720900185,72.4081974559754,17.1075668059459,3.42667779836127,2.06880567683085,0.257999897003174,396.083271344512,1494.86724141894,0.412999868392944,4.50000059604645,-1.24999940395355,-0.00336734741839279,0.128571447790886,-0.0357142692925976,0.090438584446907,234.375413099539,453.825083254339,0.177170584058762,17.42055,11.49015,0.089258579518406,0.497730008476292,0.328290005590746,0.0329999923706055,0,0,0.200999975204468,-355.999999403954,-138.999999403954,-117.116738659981,-10.1714287276171,-3.9714286220317,0.748999834060669,939.978989126885,2520.0515406196,45.7269999980927,555.500000596046,403.000000596046,90.4244932331428,15.8714288587473,11.5142859274027,0.715999841690063,939.978989126885,2520.0515406196,45.5260000228882,911.5,542,207.541231893124,26.0428575863644,15.4857145494344,0.727775697185323,-0.109261870419999,-0.83544395931298,10.3783259717977,1.40555820643628,3.16817746902295,-1.89298635086612,1.40555820643628,3.16817746902295,2.75038313066617,-0.681999706721333,-0.328101977252281,108.699042952408,8.02705719596053,11.9724698391336,24.0285475331922,8.02705719596053,11.9724698391336,0.0108781800245166,21.2856638472059,62.8776304524538,0.378733079014163,10.9484007237601,6.60993384915432,1.5617000406072,0.312811454577435,0.188855256049167,29,14,24,36,39,29,1,2,2,"1"
