VP;Spielzeit;Neutralisierungszeit;Quiz-Freezing-Prob;Alter;Geschlecht;Beruf;Schulabschluss;Smartphone;H_ufigkeitSmartphone;> 1x in der Stunde;1x in der Stunde;1x am Tag;1x in der Woche;ab und zu ;TypenSmartphone;Tablet;H_ufigkeitTablet;> 1x in der Stunde;1x in der Stunde;1x am Tag;1x in der Woche;ab und zu ;TypenTablet;Haeufigkeit_Freezing;Stoert_Freezing;Haeufigkeit_Aussetzer;Stoert_Aussetzer;Haeufigkeit_TinyIcons;Stoert_TinyIcons;Haeufigkeit_Absturz;Stoert_Absturz;wenigstenGefallen;Stoeren_QuizApp;ungest_rt;Freezing;TinyIcons;Stoeren_SpellApp;ungest_rt;Freezing;TinyIcons;N-eurotizismus;E-xtraversion;O-ffenheit fÙr Erfahrung;V-ertr_glichkeit;G-ewissenhaftigkeit
1;5;1,5;50;33;m;Student;Abitur;ja;oft;x;;;;;Apple;ja;woechentlich;;;;x;;Apple;3;2;4;2;3;2;4;2;;;;;;;;;;19;34;33;34;36
2;3;1;25;29;m;Student;Abitur;ja;oft;x;;;;;HTC, Blackberry;nein;;;;;;;;2;2;4;4;2;1;3;1;;;;;;;;;;20;28;29;34;31
3;2;0;25;24;w;Student;Abitur;ja;stuendlich;;x;;;;Samsung;ja;oft;x;;;;;Lenovo;2;1;2;1;4;4;4;2;Spell;Freezing;;x;;Both;;x;x;36;25,09090909;39;36;27
4;;;;20;m;Student;Abitur;ja;oft;x;;;;;Huawei;nein;;;;;;;;3;3;3;2;4;2;5;1;Spell;Freezing;;x;;TinyIcons;;;x;8;25;29;32;37
5;;;;29;w;Student;Abitur;ja;stuendlich;;x;;;;Huawei;ja;stuendlich;;x;;;;Amazon Fire;5;3;5;4;;;5;2;Spell;Freezing;;x;;TinyIcons;;;x;14;24;36;39;29
6;;;;28;w;Student;Abitur;ja;oft;x;;;;;Samsung;nein;;;;;;;;;;4;2;;;3;1;Spell;Freezing;;x;;TinyIcons;;;x;15;27;43;38;36
7;;;;23;w;Student;Abitur;ja;oft;x;;;;;Samsung;ja;abUndZu;;;;;x;k.A.;3;4;5;5;5;2;5;1;Spell;Freezing;;x;;Freezing;;x;;33;23;30,54545455;37;27
8;;kalte Finger (Fahrradfahren);;31;w;Fitness Trainer;Hochschulreife;ja;oft;x;;;;;Google Nexus;nein;woechentlich;;;;x;;Google Nexus;4;1;4;2;4;3;5;1;Spell;Freezing;;x;;TinyIcons;;;x;31;18;25;27;28
9;;;;28;w;Student;Abitur;ja;oft;x;;;;;Samsung;ja;taeglich;;;x;;;k.A.;3;2;;;2;1;4;2;Spell;Freezing;;x;;Freezing;;x;;26;33;21;35;31
10;;;;29;m;Student;Abitur;ja;oft;x;;;;;Sony;ja;taeglich;;;x;;;Samsung;4;4;;;;;4;4;Spell;Freezing;;x;;Freezing;;x;;22;23;32;24;29
